FNAME, LNAME, City, Province
Darth, Potter, Sudbury, ON
Trinity, Baggins, Toronto, ON
Helen, Bane, Toronto, ON
Trinity, Gandalf, Vancouver, BC
Neo, Kirk, Waterloo, ON
Morpheus, Wayne, Winnepeg, MB
Hermoine, Baratheon, Ottawa, ON
Pippin, Vader, Waterloo, ON
Herculus, Stark, Sudbury, ON
Bruce, Kirk, Ottawa, ON
Tyrion, Wayne, Toronto, ON
Morpheus, Lannister, Toronto, ON
Helen, Stark, Halifax, NS
Galadriel, Wolverine, Halifax, NS
Daenerys, Lannister, Toronto, ON
Thor, Baggins, Sudbury, ON
Juliet, Baggins, Vancouver, BC
Frodo, Watson, Vancouver, BC
Frodo, Potter, Montreal, QC
Helen, Sauraman, Montreal, QC
Helen, Yoda, Kingston, ON
Juliet, Loki, Kingston, ON
Juliet, Loki, Vancouver, BC
Bilbo, Bane, Kingston, ON
Thor, Gamgee, Toronto, ON
Helen, Kirk, Winnepeg, MB
Fiona, Lannister, Ottawa, ON
Athena, Elf, Toronto, ON
Achilles, Gandalf, Winnepeg, MB
Shrek, Sauraman, Vancouver, BC
Frodo, Sauraman, Winnepeg, MB
Athena, Gamgee, Kingston, ON
Bilbo, Vader, Halifax, NS
Frodo, Wolverine, Calgary, AB
Trinity, Stark, Vancouver, BC
Frodo, Kirk, Kingston, ON
Pippin, Lannister, Kingston, ON
Tyrion, Wolverine, Kingston, ON
Darth, Loki, Winnepeg, MB
Herculus, Kirk, Ottawa, ON
Galadriel, Wayne, Winnepeg, MB
Daenerys, Loki, Waterloo, ON
Galadriel, Wayne, Vancouver, BC
Oracle, Elf, Toronto, ON
Herculus, Kirk, Vancouver, BC
Juliet, Wolverine, Calgary, AB
Bruce, Wolverine, Halifax, NS
Trinity, Hunt, Vancouver, BC
Maximus, Wolverine, Ottawa, ON
Darth, Baggins, Kingston, ON
