FNAME, LNAME, City, Province
Arwen, Kirk, Ottawa, ON
Thor, Lannister, Kingston, ON
Trinity, Smith, Waterloo, ON
Athena, Gandalf, Winnepeg, MB
Juliet, Smith, Halifax, NS
Fiona, Legolas, Calgary, AB
Romeo, Gandalf, Halifax, NS
Juliet, Groot, Montreal, QC
Galadriel, Elf, Vancouver, BC
Oracle, Gandalf, Sudbury, ON
Darth, Bane, Vancouver, BC
Trinity, Stark, Ottawa, ON
Galadriel, Baratheon, Halifax, NS
Trinity, Kirk, Vancouver, BC
Fiona, Watson, Montreal, QC
Achilles, Stark, Ottawa, ON
Trinity, Loki, Montreal, QC
Pippin, Elf, Halifax, NS
Pippin, Wayne, Calgary, AB
Romeo, Stark, Vancouver, BC
Bilbo, Elf, Montreal, QC
Darth, Smith, Sudbury, ON
Juliet, Vader, Toronto, ON
Hermoine, Wolverine, Sudbury, ON
Arwen, Watson, Halifax, NS
Bilbo, Kirk, Montreal, QC
Morpheus, Groot, Calgary, AB
Athena, Aragorn, Sudbury, ON
Pippin, Watson, Waterloo, ON
Maximus, Gamgee, Calgary, AB
Herculus, Kirk, Winnepeg, MB
Juliet, Potter, Vancouver, BC
Fiona, Potter, Winnepeg, MB
Juliet, Hunt, Halifax, NS
Tyrion, Baratheon, Montreal, QC
Oracle, Bane, Halifax, NS
Herculus, Wayne, Montreal, QC
Galadriel, Baratheon, Calgary, AB
Darth, Baggins, Halifax, NS
Bilbo, Bane, Winnepeg, MB
Fiona, Groot, Halifax, NS
Bilbo, Hunt, Ottawa, ON
Frodo, Yoda, Vancouver, BC
Oracle, Loki, Sudbury, ON
Bilbo, Wolverine, Ottawa, ON
Bruce, Aragorn, Toronto, ON
Frodo, Watson, Waterloo, ON
Helen, Wayne, Halifax, NS
Frodo, Bane, Winnepeg, MB
Bilbo, Lannister, Montreal, QC
Morpheus, Stark, Sudbury, ON
Trinity, Smith, Calgary, AB
Frodo, Loki, Vancouver, BC
Herculus, Baggins, Winnepeg, MB
Darth, Wolverine, Ottawa, ON
Bruce, Yoda, Sudbury, ON
Shrek, Yoda, Vancouver, BC
Pippin, Elf, Kingston, ON
Pippin, Watson, Kingston, ON
Shrek, Legolas, Montreal, QC
Achilles, Wolverine, Winnepeg, MB
Neo, Lannister, Ottawa, ON
Oracle, Groot, Montreal, QC
Morpheus, Yoda, Kingston, ON
Fiona, Aragorn, Sudbury, ON
Trinity, Elf, Waterloo, ON
Thor, Baggins, Montreal, QC
Hermoine, Gandalf, Winnepeg, MB
Hermoine, Groot, Kingston, ON
Romeo, Yoda, Calgary, AB
Morpheus, Kirk, Ottawa, ON
Daenerys, Kirk, Halifax, NS
Achilles, Watson, Vancouver, BC
Romeo, Hunt, Waterloo, ON
Morpheus, Baratheon, Ottawa, ON
Thor, Hunt, Sudbury, ON
Bilbo, Smith, Ottawa, ON
Pippin, Wolverine, Calgary, AB
Shrek, Yoda, Toronto, ON
Hermoine, Hunt, Vancouver, BC
Juliet, Smith, Montreal, QC
Oracle, Potter, Toronto, ON
Thor, Wayne, Sudbury, ON
Frodo, Watson, Sudbury, ON
Thor, Aragorn, Calgary, AB
Daenerys, Watson, Toronto, ON
Athena, Legolas, Kingston, ON
Maximus, Lannister, Kingston, ON
Neo, Baratheon, Ottawa, ON
Fiona, Gamgee, Calgary, AB
Tyrion, Groot, Winnepeg, MB
Helen, Baggins, Waterloo, ON
Hermoine, Groot, Toronto, ON
Fiona, Wolverine, Sudbury, ON
Darth, Hunt, Vancouver, BC
Bilbo, Baggins, Winnepeg, MB
Herculus, Stark, Ottawa, ON
Morpheus, Legolas, Kingston, ON
Herculus, Sauraman, Winnepeg, MB
Thor, Elf, Sudbury, ON
Oracle, Sauraman, Halifax, NS
Romeo, Bane, Montreal, QC
Tyrion, Groot, Kingston, ON
Romeo, Hunt, Kingston, ON
Bruce, Potter, Calgary, AB
Darth, Gandalf, Vancouver, BC
Thor, Watson, Kingston, ON
Fiona, Bane, Kingston, ON
Shrek, Loki, Kingston, ON
Tyrion, Sauraman, Halifax, NS
Herculus, Wolverine, Ottawa, ON
Bilbo, Wayne, Halifax, NS
Trinity, Stark, Calgary, AB
Maximus, Potter, Halifax, NS
Daenerys, Hunt, Vancouver, BC
Frodo, Aragorn, Vancouver, BC
Tyrion, Aragorn, Toronto, ON
Trinity, Vader, Winnepeg, MB
Bilbo, Groot, Halifax, NS
Frodo, Baggins, Calgary, AB
Herculus, Bane, Sudbury, ON
Romeo, Wolverine, Vancouver, BC
Tyrion, Baratheon, Vancouver, BC
Maximus, Stark, Kingston, ON
Frodo, Lannister, Ottawa, ON
Darth, Gamgee, Waterloo, ON
Romeo, Smith, Halifax, NS
Juliet, Legolas, Montreal, QC
Oracle, Groot, Winnepeg, MB
Hermoine, Wayne, Ottawa, ON
Bilbo, Watson, Winnepeg, MB
Darth, Vader, Halifax, NS
Juliet, Groot, Ottawa, ON
Galadriel, Sauraman, Sudbury, ON
Achilles, Vader, Toronto, ON
Juliet, Vader, Kingston, ON
Hermoine, Smith, Montreal, QC
Romeo, Potter, Sudbury, ON
Achilles, Stark, Toronto, ON
Neo, Gandalf, Montreal, QC
Athena, Lannister, Kingston, ON
Tyrion, Lannister, Halifax, NS
Neo, Kirk, Sudbury, ON
Frodo, Loki, Ottawa, ON
Tyrion, Groot, Kingston, ON
Pippin, Groot, Montreal, QC
Galadriel, Gandalf, Sudbury, ON
Achilles, Lannister, Kingston, ON
Frodo, Aragorn, Halifax, NS
Thor, Yoda, Sudbury, ON
Helen, Gandalf, Calgary, AB
Frodo, Baratheon, Sudbury, ON
Maximus, Baggins, Vancouver, BC
Galadriel, Gandalf, Vancouver, BC
Tyrion, Sauraman, Halifax, NS
Athena, Legolas, Toronto, ON
Trinity, Wayne, Ottawa, ON
Bilbo, Yoda, Waterloo, ON
Galadriel, Elf, Vancouver, BC
Tyrion, Groot, Waterloo, ON
Achilles, Vader, Calgary, AB
Oracle, Legolas, Halifax, NS
Darth, Vader, Ottawa, ON
Romeo, Groot, Sudbury, ON
Athena, Bane, Halifax, NS
Helen, Stark, Kingston, ON
Frodo, Wayne, Winnepeg, MB
Daenerys, Loki, Winnepeg, MB
Frodo, Legolas, Sudbury, ON
Helen, Hunt, Toronto, ON
Darth, Lannister, Calgary, AB
Hermoine, Yoda, Montreal, QC
Juliet, Loki, Montreal, QC
Frodo, Wayne, Montreal, QC
Helen, Loki, Winnepeg, MB
Herculus, Baggins, Vancouver, BC
Neo, Yoda, Halifax, NS
Helen, Gamgee, Vancouver, BC
Helen, Bane, Waterloo, ON
Arwen, Kirk, Calgary, AB
Oracle, Wayne, Halifax, NS
Romeo, Smith, Halifax, NS
Darth, Smith, Ottawa, ON
Achilles, Gandalf, Ottawa, ON
Herculus, Yoda, Calgary, AB
Oracle, Wayne, Sudbury, ON
Athena, Groot, Ottawa, ON
Shrek, Sauraman, Toronto, ON
Juliet, Hunt, Kingston, ON
Pippin, Legolas, Montreal, QC
Tyrion, Yoda, Calgary, AB
Trinity, Groot, Calgary, AB
Pippin, Legolas, Kingston, ON
